product_barcode,product_label,product_size,brand_name,manufacturer_country,manufacturer_name,scan_country,data_url,bottle_weight,bottle_count
6009217216369,Double Cream Lemon Curd Yoghurt,1000 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009223529415,Plain Yoghurt with Strawberry,150 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009223535454,hot seasoning,70 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009223535461,Mild Seasoning,70g,Woolworthfoods,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,4
6009223763321,plain yoghurt,500 g,Woolworths,ZA,Woolworths Holdings Ltd,ZA,https://wastebase.org/#/o/2f52aa15-7758-4286-ba2c-f683e92553a7,,1
6009328205221,Agua Purificada,6.0 L,Aquaplus,MZ,Mopani Internacional Lda,MZ,https://wastebase.org/#/o/a34f6bbf-55f1-46c7-82db-d13b2a8d65b8,,431
6009510804683,Niknaks Cheese Flavour,20 g,SIMBA,CD,MARSAVCO,MZ,https://wastebase.org/#/o/c5ff4416-4817-441a-b3cd-6857c5acbafc,,2
6009510805840,Potato Chips Salted,23 g,Lay's,US,"Pepsico, Inc",CD,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,13
6009510805840,Potato Chips Salted,23 g,Lay's,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,5
6009510805857,Potatos Chips Caribean Onion & Balsamic Vinegar Flavour,23 g,Lay's,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
6009510805864,Potato Chips Spring Onion & Cheese Flavour,23 g,Lay's,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,1
6009510805888,Sweet Chilli Corn Chips,30 g,Doritos,US,"Pepsico, Inc",MZ,https://wastebase.org/#/o/fa6fbb15-8b61-4e1d-867f-db43d9d31fd3,,2
